sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
34.511,['note_on'],[0],[59],[61],p,0,1,0,0,0,0
34.629,['note_on'],[0],[65],[59],p,0,1,0,0,0,0
34.764,['note_on'],[0],[55],[52],p,0,1,0,0,0,0
34.893,['note_on'],[0],[59],[61],p,0,1,0,0,0,0
35.03,['note_on'],[0],[65],[67],mp,0,1,0,0,0,0
35.15,['note_on'],[0],[43],[56],p,0,1,0,0,"[126, 108, 90, 64, 4, 0]",0
35.255,['note_on'],[0],[50],[53],p,0,1,0,0,"[4, 14]",0
35.391,['note_on'],[0],[55],[60],p,0,1,0,0,"[26, 36, 48, 58, 64, 72, 80, 88, 94, 102, 110, 118, 126, 127]",0
35.521,['note_on'],[0],[59],[65],mp,0,1,0,0,0,0
35.631,['note_on'],[0],[65],[65],mp,0,1,0,0,0,0
35.747,['note_on'],[0],[55],[60],p,0,1,0,0,0,0
35.874,['note_on'],[0],[59],[65],mp,0,1,0,0,0,0
36.011,['note_on'],[0],[65],[63],mp,0,1,0,0,0,0
36.138,['note_on'],[0],[48],[61],p,0,1,0,0,"[116, 92, 64, 1, 0]",0
36.242,['note_on'],[0],[52],[60],p,0,1,0,0,1,0
36.371,['note_on'],[0],[55],[61],p,0,1,0,0,"[12, 34, 46, 58, 66, 78, 86, 96, 106, 116, 126, 127]",0
36.491,['note_on'],[0],[60],[61],p,0,1,0,0,0,0
36.592,['note_on'],[0],[64],[61],p,0,1,0,0,0,0
36.702,['note_on'],[0],[55],[60],p,0,1,0,0,0,0
36.845,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
36.982,['note_on'],[0],[64],[56],p,0,1,0,0,0,0
37.13,['note_on'],[0],[48],[55],p,0,1,0,0,"[120, 98, 76, 16, 0]",0
37.234,['note_on'],[0],[52],[57],p,0,1,0,0,"[2, 12, 20, 32]",0
37.361,['note_on'],[0],[55],[60],p,0,1,0,0,"[42, 52, 60, 68, 76, 86, 90, 100, 108, 118, 127]",0
37.467,['note_on'],[0],[60],[60],p,0,1,0,0,0,0
37.599,['note_on'],[0],[64],[55],p,0,1,0,0,0,0
37.72,['note_on'],[0],[55],[57],p,0,1,0,0,0,0
37.859,['note_on'],[0],[60],[61],p,0,1,0,0,0,0
37.985,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
38.101,['note_on'],[0],[48],[56],p,0,1,0,0,"[110, 20, 0]",0
38.207,['note_on'],[0],[55],[53],p,0,1,0,0,"[2, 18]",0
38.331,['note_on'],[0],[58],[57],p,0,1,0,0,"[30, 44, 58, 66, 78, 86, 92, 100, 108, 116, 124, 127]",0
38.439,['note_on'],[0],[60],[46],pp,0,1,0,0,0,0
38.542,['note_on'],[0],[64],[51],p,0,1,0,0,0,0
38.709,['note_on'],[0],[58],[55],p,0,1,0,0,0,0
38.841,['note_on'],[0],[60],[52],p,0,1,0,0,0,0
38.993,['note_on'],[0],[64],[55],p,0,1,0,0,0,0
